packet_count,bytes_total,packet_size_mean,packet_size_std,iat_mean,iat_std,dup_payload_ratio,write_ratio,unique_write_regs,label
9,579,64.33333333333333,3.7712361663282534,0.010217756032943726,0.008269487972611816,0.33333333333333337,0.5555555555555556,3,command_injection
6,396,66.0,0.0,0.01596722602844238,0.00574588406946531,0.5,1.0,2,command_injection
7,456,65.14285714285714,1.355261854357877,0.015968680381774902,0.0062593769648943256,0.1428571428571429,0.7142857142857143,3,command_injection
2,120,60.0,6.0,0.05472087860107422,0.0,0.0,0.5,1,command_injection
4,258,64.5,1.5,0.013274033864339193,0.007533424656994856,0.0,0.5,2,command_injection
7,456,65.14285714285714,1.355261854357877,0.015723665555318195,0.007099833259908239,0.1428571428571429,0.7142857142857143,3,command_injection
6,390,65.0,1.4142135623730951,0.017178821563720702,0.007913470006460643,0.16666666666666663,0.6666666666666666,3,command_injection
4,252,63.0,5.196152422706632,0.023295005162556965,0.013746591551105655,0.33333333333333337,0.75,2,command_injection
3,195,65.0,1.4142135623730951,0.015649914741516113,0.007739901542663574,0.0,0.6666666666666666,2,command_injection
7,456,65.14285714285714,1.355261854357877,0.01595481236775716,0.007463468914057702,0.1428571428571429,0.7142857142857143,2,command_injection
6,390,65.0,1.4142135623730951,0.01429743766784668,0.007539657896019492,0.16666666666666663,0.6666666666666666,3,command_injection
4,258,64.5,1.5,0.013496637344360352,0.008017514915252441,0.0,0.5,2,command_injection
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,command_injection
2,129,64.5,1.5,0.008162975311279297,0.0,0.0,0.5,1,command_injection
6,390,65.0,1.4142135623730951,0.014564990997314453,0.007844942060357268,0.16666666666666663,0.6666666666666666,3,command_injection
6,393,65.5,1.118033988749895,0.014538383483886719,0.008235437169149694,0.33333333333333337,0.8333333333333334,3,command_injection
6,396,66.0,0.0,0.014670991897583007,0.007528886859243471,0.5,1.0,2,command_injection
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,command_injection
3,198,66.0,0.0,0.02379441261291504,0.002374410629272461,0.33333333333333337,1.0,2,command_injection
1,66,66.0,0.0,0.0,0.0,0.0,1.0,1,command_injection
4,261,65.25,1.299038105676658,0.016155004501342773,0.011379217932299913,0.0,0.5,2,command_injection
1,66,66.0,0.0,0.0,0.0,0.0,1.0,1,command_injection
2,129,64.5,1.5,0.018687963485717773,0.0,0.0,0.5,1,command_injection
6,387,64.5,1.5,0.017491817474365234,0.005566038019016708,0.0,0.5,2,command_injection
6,390,65.0,1.4142135623730951,0.014332771301269531,0.007488845662130447,0.16666666666666663,0.6666666666666666,2,command_injection
3,186,62.0,5.656854249492381,0.03239548206329346,0.01908433437347412,0.5,0.6666666666666666,1,command_injection
3,198,66.0,0.0,0.015995025634765625,0.006921052932739258,0.33333333333333337,1.0,1,command_injection
5,330,66.0,0.0,0.020286738872528076,0.007839635146506572,0.4,1.0,2,command_injection
6,393,65.5,1.118033988749895,0.014678239822387695,0.008386450628889989,0.33333333333333337,0.8333333333333334,3,command_injection
6,390,65.0,1.4142135623730951,0.014373588562011718,0.008228072594653208,0.16666666666666663,0.6666666666666666,3,command_injection
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,command_injection
1,66,66.0,0.0,0.0,0.0,0.0,1.0,1,command_injection
6,390,65.0,1.4142135623730951,0.017260026931762696,0.008469355993827922,0.16666666666666663,0.6666666666666666,3,command_injection
4,261,65.25,1.299038105676658,0.018388668696085613,0.0065075255914079635,0.0,0.75,3,command_injection
7,459,65.57142857142857,1.049781318335648,0.015087167421976725,0.0074602448453364835,0.4285714285714286,0.8571428571428571,2,command_injection
3,183,61.0,5.0990195135927845,0.0317234992980957,0.024057626724243164,0.0,0.3333333333333333,1,command_injection
3,195,65.0,1.4142135623730951,0.015799522399902344,0.005551338195800781,0.0,0.6666666666666666,1,command_injection
6,390,65.0,1.4142135623730951,0.01744842529296875,0.007025648407398802,0.16666666666666663,0.6666666666666666,3,command_injection
7,456,65.14285714285714,1.355261854357877,0.016135811805725098,0.007306538220519141,0.2857142857142857,0.7142857142857143,3,command_injection
4,264,66.0,0.0,0.013501644134521484,0.006961839305191161,0.5,1.0,2,command_injection
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,command_injection
6,390,65.0,1.4142135623730951,0.017380428314208985,0.00966295312709868,0.16666666666666663,0.6666666666666666,3,command_injection
6,396,66.0,0.0,0.014259576797485352,0.007542735469055646,0.5,1.0,2,command_injection
6,393,65.5,1.118033988749895,0.014064788818359375,0.007233118309883679,0.33333333333333337,0.8333333333333334,2,command_injection
3,183,61.0,5.0990195135927845,0.03175497055053711,0.022485017776489258,0.0,0.3333333333333333,1,command_injection
4,261,65.25,1.299038105676658,0.013124386469523111,0.007304623355093233,0.25,0.75,2,command_injection
7,459,65.57142857142857,1.049781318335648,0.01582785447438558,0.00659723650563543,0.2857142857142857,0.8571428571428571,3,command_injection
6,393,65.5,1.118033988749895,0.017540407180786134,0.0075053234415649595,0.16666666666666663,0.8333333333333334,3,command_injection
4,249,62.25,4.9180788932265,0.028470675150553387,0.01939736465759806,0.0,0.5,2,command_injection
2,132,66.0,0.0,0.009755134582519531,0.0,0.5,1.0,1,command_injection
7,462,66.0,0.0,0.01601831118265788,0.0073267706772935344,0.4285714285714286,1.0,2,command_injection
6,393,65.5,1.118033988749895,0.01751260757446289,0.0057306474912162805,0.16666666666666663,0.8333333333333334,3,command_injection
5,327,65.4,1.2,0.016086995601654053,0.007591043850575401,0.4,0.8,1,command_injection
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,command_injection
6,390,65.0,1.4142135623730951,0.01406240463256836,0.0063962123153161075,0.16666666666666663,0.6666666666666666,3,command_injection
7,453,64.71428571428571,1.4846149779161804,0.0157853364944458,0.007251904827380749,0.0,0.5714285714285714,2,command_injection
6,387,64.5,1.5,0.0172882080078125,0.007131067250100455,0.0,0.5,2,command_injection
2,117,58.5,4.5,0.053846120834350586,0.0,0.0,0.0,0,command_injection
6,396,66.0,0.0,0.014358186721801757,0.0072605620558553186,0.5,1.0,1,command_injection
