window_s,accuracy,macro_f1,latency_estimate_s
0.1,0.7764705882352941,0.6900781908915525,0.1
0.2,0.7313432835820896,0.6760026313369704,0.2
0.5,0.8538812785388128,0.8542758449261573,0.5
