packet_count,bytes_total,packet_size_mean,packet_size_std,iat_mean,iat_std,label
10,634,63.4,6.437390775772433,0.02174443668789334,0.023996589445873653,timing_attack
9,573,63.666666666666664,7.1336448530109,0.02371463179588318,0.012892821332762178,timing_attack
10,644,64.4,7.116178749862879,0.018598318099975586,0.016186224905640364,timing_attack
10,627,62.7,7.362744053679987,0.020238240559895832,0.015480219453887044,timing_attack
11,710,64.54545454545455,6.800583348823652,0.016080689430236817,0.016648506875808003,timing_attack
10,627,62.7,7.362744053679987,0.020838340123494465,0.018923674555505386,timing_attack
10,656,65.6,6.216108107168021,0.017706208758884005,0.016415475519182727,timing_attack
10,627,62.7,7.362744053679987,0.02039843135409885,0.018898018491479245,timing_attack
10,639,63.9,6.803675477269621,0.020319011476304796,0.015995605358855948,timing_attack
10,644,64.4,7.116178749862879,0.018568224377102323,0.016076047258434454,timing_attack
9,573,63.666666666666664,7.1336448530109,0.019974350929260254,0.012358242926247596,timing_attack
11,705,64.0909090909091,6.515081042606878,0.015064811706542969,0.017970274013255974,timing_attack
11,693,63.0,7.083912632282966,0.018530511856079103,0.018937135739643257,timing_attack
10,644,64.4,7.116178749862879,0.01847044626871745,0.016340636868086688,timing_attack
11,705,64.0909090909091,6.515081042606878,0.016941380500793458,0.012919159714061115,timing_attack
10,639,63.9,6.803675477269621,0.01766000853644477,0.013269131644485958,timing_attack
10,639,63.9,6.803675477269621,0.019581768247816298,0.01744824393644758,timing_attack
9,573,63.666666666666664,7.1336448530109,0.018102526664733887,0.014240283481095966,timing_attack
11,705,64.0909090909091,6.515081042606878,0.01600480079650879,0.015053066814272334,timing_attack
9,573,63.666666666666664,7.1336448530109,0.017790377140045166,0.014173892975134335,timing_attack
9,573,63.666666666666664,7.1336448530109,0.020114868879318237,0.012547179844520369,timing_attack
9,573,63.666666666666664,7.1336448530109,0.018089354038238525,0.013631626629553912,timing_attack
13,837,64.38461538461539,6.032456592830048,0.012835999329884848,0.015453230347535197,timing_attack
11,705,64.0909090909091,6.515081042606878,0.016815900802612305,0.013452387687747227,timing_attack
11,705,64.0909090909091,6.515081042606878,0.015803313255310057,0.017782287066420217,timing_attack
9,568,63.111111111111114,6.723829009069897,0.018784523010253906,0.015714251555813345,timing_attack
10,651,65.1,5.957348403442592,0.017730447981092665,0.014775491603583652,timing_attack
10,627,62.7,7.362744053679987,0.020342323515150283,0.015072778204650961,timing_attack
11,705,64.0909090909091,6.515081042606878,0.018421292304992676,0.01706061829094521,timing_attack
8,519,64.875,6.641488914392616,0.02046401160103934,0.014214825591798307,timing_attack
9,573,63.666666666666664,7.1336448530109,0.01808348298072815,0.015552041027737506,timing_attack
15,962,64.13333333333334,6.448427887649999,0.01382749421255929,0.016256730195584674,timing_attack
9,580,64.44444444444444,5.92754607482184,0.018801987171173096,0.015631848948890296,timing_attack
12,759,63.25,6.832825184358224,0.016777623783458363,0.017141744109532023,timing_attack
11,705,64.0909090909091,6.515081042606878,0.018383502960205078,0.020225297084171565,timing_attack
11,710,64.54545454545455,6.800583348823652,0.01903350353240967,0.015054742395127139,timing_attack
9,573,63.666666666666664,7.1336448530109,0.015872269868850708,0.015015402150737028,timing_attack
10,627,62.7,7.362744053679987,0.0203755431705051,0.014805922774198742,timing_attack
12,783,65.25,5.448623679425842,0.016113909808072178,0.015608570614912607,timing_attack
8,519,64.875,6.641488914392616,0.020383289882114956,0.01797079609986958,timing_attack
9,573,63.666666666666664,7.1336448530109,0.022898614406585693,0.01403542599006505,timing_attack
9,573,63.666666666666664,7.1336448530109,0.02307012677192688,0.0186809688973061,timing_attack
10,651,65.1,5.957348403442592,0.01608432663811578,0.020495485357440554,timing_attack
13,837,64.38461538461539,6.032456592830048,0.014079233010609945,0.014353434209080517,timing_attack
9,573,63.666666666666664,7.1336448530109,0.01988363265991211,0.01278171098826968,timing_attack
9,573,63.666666666666664,7.1336448530109,0.01795712113380432,0.013895919230151118,timing_attack
10,627,62.7,7.362744053679987,0.02014833026462131,0.015170752193561675,timing_attack
11,705,64.0909090909091,6.515081042606878,0.0183866024017334,0.01975613328873399,timing_attack
11,710,64.54545454545455,6.800583348823652,0.017677903175354004,0.018935796318815198,timing_attack
9,573,63.666666666666664,7.1336448530109,0.01783272624015808,0.01888182089918096,timing_attack
14,896,64.0,6.654751256486923,0.013500231962937575,0.016768919205844467,timing_attack
11,705,64.0909090909091,6.515081042606878,0.015897393226623535,0.015767307733859717,timing_attack
11,705,64.0909090909091,6.515081042606878,0.014385581016540527,0.015823410369887964,timing_attack
16,1028,64.25,6.2599920127744575,0.012422990798950196,0.015985782734655358,timing_attack
8,519,64.875,6.641488914392616,0.017990010125296458,0.015299504975975667,timing_attack
11,710,64.54545454545455,6.800583348823651,0.0159498929977417,0.01675685430062852,timing_attack
11,705,64.0909090909091,6.515081042606878,0.015747904777526855,0.01534241272167148,timing_attack
13,825,63.46153846153846,6.605538289547231,0.015386839707692465,0.019450464191373074,timing_attack
9,573,63.666666666666664,7.1336448530109,0.02369275689125061,0.013434853207809832,timing_attack
10,639,63.9,6.803675477269621,0.02129175927903917,0.016471307386723023,timing_attack
10,639,63.9,6.803675477269621,0.020384894476996526,0.018188858665384527,timing_attack
12,771,64.25,6.2599920127744575,0.017534104260531338,0.017929582688213687,timing_attack
10,651,65.1,5.957348403442592,0.01776954862806532,0.018449703569892183,timing_attack
10,627,62.7,7.362744053679987,0.020434459050496418,0.019426412509910816,timing_attack
9,573,63.666666666666664,7.1336448530109,0.022924751043319702,0.015727810367166164,timing_attack
